#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 305 JNLE                        2310                0
 308 JNS                         1072                0
 309 JNZ                        34883                0
 310 JO                             3                0
 313 JS                            84                0
 314 JZ                         45925                0
 371 LEA                        28096                0
 372 LEAVE                          4                0
 408 MOV                       184436                0
 412 MOVD                         115                0
 415 MOVDQA                      2145                0
 416 MOVDQU                       509                0
 418 MOVHPD                      1370                0
 421 MOVLPD                      1370                0
 433 MOVQ                          75                0
 443 MOVSX                        643                0
 444 MOVSXD                      4688                0
 447 MOVZX                      24660                0
 451 MUL                            4                0
 459 NEG                          170                0
 461 NOP                         2182                0
 470 NOT                           19                0
 472 OR                           965                0
 505 PCMPEQB                     3245                0
 568 PMINUB                        74                0
 571 PMOVMSKB                    1802                0
 592 POP                        14638                0
 599 POR                          243                0
 610 PSHUFD                       173                0
 618 PSLLDQ                       579                0
 624 PSRLDQ                       144                0
 627 PSUBB                       1275                0
 642 PUNPCKLBW                    231                0
 645 PUNPCKLWD                    115                0
 646 PUSH                       17323                0
 652 PXOR                        2198                0
 667 RDTSC                          9                0
 704 RET_NEAR                    5997                0
 705 ROL                          113                0
 706 ROR                           16                0
 718 SAR                          853                0
 721 SBB                           14                0
 727 SETB                         145                0
 728 SETBE                        150                0
 738 SETNZ                       9030                0
 743 SETZ                        2571                0
 753 SHL                         3463                0
 756 SHR                         5904                0
 778 STOSQ                          0             1440
 781 SUB                        11024                0
 788 SYSCALL                      109                0
 795 TEST                       46254                0
1076 VMOVDQA                      672                0
1079 VMOVDQU                      100                0
1542 XCHG                         545                0
1544 XGETBV                         1                0
1546 XOR                        11695                0
3000 *total                    682905             2784
3001 *mem-atomic                   38                0
3002 *stack-read                74507                0
3003 *stack-write               56282                0
3004 *iprel-read                 7945                0
3005 *iprel-write                 782                0
3007 *mem-read-1                35916                0
3008 *mem-read-2                 6128                0
3010 *mem-read-4                22596                0
3014 *mem-read-8               100689                0
3022 *mem-read-16                1978                0
3038 *mem-read-32                 336                0
3519 *mem-write-1                8463                0
3520 *mem-write-2                 118                0
3522 *mem-write-4                7110                0
3526 *mem-write-8               56362                0
3534 *mem-write-16                678                0
3550 *mem-write-32                336                0
# $eof
